runs,mean,ci_low,ci_high,cov
20,8.815500000000002,8.57223449369542,9.058765506304583,0.05746933395772986
25,8.8044,8.58863265678734,9.020167343212659,0.05817055687774141
30,8.730333333333332,8.497064004513513,8.963602662153152,0.07035318030378855
35,8.730285714285714,8.523879854333925,8.936691574237502,0.06783550549235257
40,8.6815,8.485996171115582,8.877003828884417,0.06952856664939466
45,8.636888888888889,8.45059403440439,8.823183743373388,0.0709930113966582
50,8.639199999999999,8.458759006438193,8.819640993561805,0.07275376134445811
55,8.624727272727272,8.451232307718358,8.798222237736185,0.07373100529380894
60,8.671833333333332,8.501380054385944,8.84228661228072,0.07545262576407523
65,8.715538461538461,8.549969601834878,8.881107321242045,0.0760742544159826
70,8.713714285714286,8.556833068429372,8.8705955029992,0.07496545183273984
75,8.718133333333332,8.57139969195213,8.864866974714534,0.07266315285710973
80,8.722625,8.584590460215225,8.860659539784777,0.07066474513822725
85,8.729529411764705,8.594723155113615,8.864335668415796,0.07117202349244779
90,8.71411111111111,8.58425997929188,8.84396224293034,0.07074967318523505
95,8.70178947368421,8.568975906119073,8.834603041249347,0.07452856831293894
100,8.7167,8.586381859198465,8.847018140801534,0.07496891368991368
105,8.693523809523809,8.565505508609364,8.821542110438253,0.07572895219628278
110,8.698818181818181,8.575673879198837,8.821962484437526,0.07457114175381727
115,8.69104347826087,8.570543831317744,8.811543125203995,0.07472802262460713
120,8.696416666666668,8.578716850853883,8.814116482479452,0.07456273461729587
