aircraft_id,start_time,end_time,time_to_destination,moving_time,idle_time,status
A0,5.0,15.0,10.0,10.0,0,planned
A1,10.0,17.0,7.0,7.0,0,planned
A2,15.0,24.0,9.0,9.0,0,planned
A3,20.0,27.0,7.0,7.0,0,planned
A4,25.0,33.0,8.0,8.0,0,planned
A5,30.0,38.0,8.0,8.0,0,planned
A6,35.0,43.0,8.0,8.0,0,planned
A7,40.0,48.0,8.0,8.0,0,planned
A8,45.0,56.0,11.0,11.0,0,planned
A9,50.0,61.0,11.0,11.0,0,planned
A10,55.0,60.0,5.0,5.0,0,planned
A11,60.0,66.0,6.0,6.0,0,planned
A12,65.0,70.0,5.0,5.0,0,planned
A13,70.0,81.0,11.0,11.0,0,planned
A14,75.0,83.0,8.0,8.0,0,planned
