aircraft_id,start_time,end_time,time_to_destination,num_aircraft,run_id
A0,8.0,23.0,15.0,6,1
A1,16.0,27.9,11.9,6,1
A2,24.0,39.1,15.1,6,1
A3,32.0,46.2,14.2,6,1
A4,40.0,57.8,17.8,6,1
A5,48.0,60.8,12.8,6,1
A0,8.0,21.0,13.0,6,2
A1,16.0,29.9,13.9,6,2
A2,24.0,37.9,13.9,6,2
A3,32.0,48.4,16.4,6,2
A4,40.0,55.4,15.4,6,2
A5,48.5,61.7,13.2,6,2
A0,8.0,25.1,17.1,6,3
A1,16.0,25.9,9.9,6,3
A2,24.0,37.8,13.8,6,3
A3,32.0,48.3,16.3,6,3
A4,40.0,52.3,12.3,6,3
A5,48.0,66.8,18.8,6,3
A0,8.0,22.9,14.9,6,4
A1,16.0,26.9,10.9,6,4
A2,24.0,38.3,14.3,6,4
A3,32.0,49.2,17.2,6,4
A4,40.0,54.9,14.9,6,4
A5,48.0,62.8,14.8,6,4
A0,8.0,20.9,12.9,6,5
A1,16.0,28.9,12.9,6,5
A2,24.0,38.3,14.3,6,5
A3,32.0,44.3,12.3,6,5
A4,40.0,58.0,18.0,6,5
A5,48.0,61.8,13.8,6,5
A0,6.0,23.2,17.2,8,1
A1,12.0,23.9,11.9,8,1
A2,18.0,31.2,13.2,8,1
A3,24.0,38.4,14.4,8,1
A4,30.0,45.9,15.9,8,1
A5,36.0,54.1,18.1,8,1
A6,42.0,57.3,15.3,8,1
A7,48.0,62.2,14.2,8,1
A0,6.0,23.2,17.2,8,2
A1,12.0,25.1,13.1,8,2
A2,18.0,32.1,14.1,8,2
A3,24.0,40.2,16.2,8,2
A4,30.0,45.3,15.3,8,2
A5,36.0,55.1,19.1,8,2
A6,42.0,54.9,12.9,8,2
A7,48.0,77.2,29.2,8,2
A0,6.0,17.9,11.9,8,3
A1,12.0,27.2,15.2,8,3
A2,18.0,33.3,15.3,8,3
A3,24.0,34.9,10.9,8,3
A4,30.0,43.2,13.2,8,3
A5,36.0,51.2,15.2,8,3
A6,42.0,57.3,15.3,8,3
A7,48.0,63.8,15.8,8,3
A0,6.0,22.1,16.1,8,4
A1,12.0,26.1,14.1,8,4
A2,18.0,36.1,18.1,8,4
A3,24.0,40.3,16.3,8,4
A4,30.0,48.8,18.8,8,4
A5,36.0,55.1,19.1,8,4
A6,42.0,56.2,14.2,8,4
A7,48.0,80.2,32.2,8,4
A0,6.0,20.8,14.8,8,5
A1,12.0,24.8,12.8,8,5
A2,18.1,36.2,18.1,8,5
A3,24.1,39.4,15.3,8,5
A4,30.1,45.7,15.6,8,5
A5,36.1,48.7,12.6,8,5
A6,42.1,58.1,16.0,8,5
A7,48.1,61.9,13.8,8,5
A0,5.0,14.8,9.8,10,1
A1,10.0,22.9,12.9,10,1
A2,15.0,25.2,10.2,10,1
A3,20.1,37.8,17.7,10,1
A4,25.1,40.9,15.8,10,1
A5,30.1,46.3,16.2,10,1
A6,35.1,53.1,18.0,10,1
A7,40.1,56.1,16.0,10,1
A8,45.1,61.6,16.5,10,1
A9,50.1,69.4,19.3,10,1
A0,5.0,22.1,17.1,10,2
A1,10.0,24.1,14.1,10,2
A2,15.0,30.8,15.8,10,2
A3,20.0,35.0,15.0,10,2
A4,25.0,43.3,18.3,10,2
A5,30.0,43.7,13.7,10,2
A6,35.0,50.6,15.6,10,2
A7,40.3,78.3,38.0,10,2
A8,45.3,86.1,40.8,10,2
A9,50.3,67.6,17.3,10,2
A0,5.0,15.9,10.9,10,3
A1,10.0,22.3,12.3,10,3
A2,15.4,29.6,14.2,10,3
A3,20.5,33.9,13.4,10,3
A4,25.5,39.9,14.4,10,3
A5,30.5,42.8,12.3,10,3
A6,35.5,49.4,13.9,10,3
A7,40.6,59.2,18.6,10,3
A8,45.6,55.0,9.4,10,3
A9,50.6,64.8,14.2,10,3
A0,5.0,16.9,11.9,10,4
A1,10.0,22.1,12.1,10,4
A2,15.0,31.3,16.3,10,4
A3,20.0,39.9,19.9,10,4
A4,25.0,39.1,14.1,10,4
A5,30.0,45.2,15.2,10,4
A6,35.0,49.1,14.1,10,4
A7,40.3,58.7,18.4,10,4
A8,45.3,58.6,13.3,10,4
A9,50.3,62.7,12.4,10,4
A0,5.0,15.9,10.9,10,5
A1,10.0,24.2,14.2,10,5
A2,15.4,30.6,15.2,10,5
A3,20.5,36.7,16.2,10,5
A4,25.5,41.1,15.6,10,5
A5,30.5,45.7,15.2,10,5
A6,35.5,51.4,15.9,10,5
A7,40.5,54.6,14.1,10,5
A8,45.5,60.2,14.7,10,5
A9,50.5,68.9,18.4,10,5
